Orientation [°],Layer Height [mm],Nozzle Diameter [mm],Print Speed [mm/min],Avg Temperature [°C],Avg Filament Speed [mm/s],Avg Force [g],Modulus [MPa],Tensile Stress at Tensile Strength [MPa],Run,Sample,Notes,Filepath
0,0.1,0.3,1200,226.79,0.36,870.77,2515.99,38.84,1,1,M,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_03_1200/1_100_25_01_03_1200_0_M.csv
0,0.1,0.3,1200,224.29,0.43,870.32,2343.66,39.45,1,2,M,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_03_1200/1_100_25_01_03_1200_0_M.csv
0,0.1,0.3,1200,227.05,0.24,826.45,2654.49,39.62,1,3,M,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_03_1200/1_100_25_01_03_1200_0_M.csv
0,0.1,0.3,1200,226.89,0.24,793.59,2273.61,39.34,1,4,M,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_03_1200/1_100_25_01_03_1200_0_M.csv
0,0.1,0.3,1200,227.65,0.24,793.59,3208.57,40.65,2,1,JB,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_03_1200/2_25_100_01_03_1200_0_JB.csv
0,0.1,0.3,1200,227.67,0.24,842.22,2830.94,41.08,2,2,JB,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_03_1200/2_25_100_01_03_1200_0_JB.csv
0,0.1,0.3,1200,227.61,0.24,688.01,3140.89,41.37,2,3,JB,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_03_1200/2_25_100_01_03_1200_0_JB.csv
0,0.1,0.3,1200,227.58,0.24,663.75,2664.05,41.66,2,4,JB,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_03_1200/2_25_100_01_03_1200_0_JB.csv
0,0.1,0.3,2400,226.81,0.48,753.62,2709.95,39.34,1,1,JB,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_03_2400/1_100_25_01_03_2400_0_JB.csv
0,0.1,0.3,2400,226.83,0.48,738.50,2220.20,39.86,1,2,JB,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_03_2400/1_100_25_01_03_2400_0_JB.csv
0,0.1,0.3,2400,226.8,0.48,733.66,3216.06,38.17,1,3,JB,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_03_2400/1_100_25_01_03_2400_0_JB.csv
0,0.1,0.3,2400,226.77,0.48,754.01,2065.31,36.92,1,4,JB,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_03_2400/1_100_25_01_03_2400_0_JB.csv
0,0.1,0.3,2400,227.61,0.47,750.63,2501.91,41.91,2,1,JB,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_03_2400/2_25_100_01_03_2400_0_JB.csv
0,0.1,0.3,2400,227.59,0.47,790.63,2213.55,41.18,2,2,JB,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_03_2400/2_25_100_01_03_2400_0_JB.csv
0,0.1,0.3,2400,227.6,0.48,768.00,2365.27,42.01,2,3,JB,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_03_2400/2_25_100_01_03_2400_0_JB.csv
